,explcit_uuid_ddb1
0,"('T170', '39f368f8-fcc1-4bf5-ac20-12d9b4f4a467')"
1,"('T171', '05154e69-96af-46b6-8899-5972845c4e69')"
2,"('T172', '5b1c91ff-8059-459e-a4d0-2d8d14b300c0')"
3,"('T174', 'a5a3a85d-4e33-49a2-9284-2587fb679872')"
4,"('T175', 'd6cf8705-3c44-4e4d-a726-d79d3c5ac409')"
5,"('T176', 'ba4e6d8f-f3fa-4e4d-a405-3d9bc30b8c17')"
6,"('T178', '8be33ff5-e66f-4ccd-9c93-cc73ce859cab')"
7,"('T179', 'e74c16d8-80e3-4cdb-8d7f-37c5b16c003f')"
8,"('T189', '1c6786bb-752f-424b-8a19-c3d6ad475513')"
9,"('R0107', 'ec01ee6e-f01d-4845-909c-cfb4f506571f')"
10,"('R0108', 'd66ce2a7-d78d-4ade-80f0-117a7906e8fc')"
11,"('R0109', '27a573df-3690-46a0-b76a-5452a386c4fb')"
12,"('R0110', 'e4e91e58-abfc-4e36-9d0d-e850376d2696')"
13,"('R0112', 'a5a3a85d-4e33-49a2-9284-2587fb679872')"
14,"('R0113', '690fd031-a01a-4136-9a89-74c1ba68940c')"
15,"('R0114', '1698daff-89ba-4e3b-87cf-8cf53553bca6')"
16,"('R0115', 'abf0a13b-c515-4416-8943-c6a9a502a9f7')"
17,"('R0116', '3bdc8ff7-b415-480d-86a8-6fc98d3804d6')"
18,"('R0117', 'e2e1d0f3-a8b8-4cdc-b9f2-ca35f8d5af81')"
19,"('R0118', '9f8b0063-f8de-401d-bd76-7c328d88f831')"
20,"('R0120', '2a42da92-d061-46e5-b3fc-7cccb56dd356')"
21,"('R0121', '8c94c1ed-a5b3-4e29-8a8f-f8d5978de89f')"
22,"('R0122', 'c1054290-54d3-43c4-a01b-46f437fae0e3')"
23,"('R0123', '3c44782a-395c-4119-b962-6096335c24ff')"
24,"('R0124', '37011c42-542e-454a-820c-54acea688fdc')"
25,"('R0125', 'ef93c596-0169-42e3-a38d-0a17012acb33')"
26,"('R0127', '8eeb1c34-e1cd-4034-805a-83d96d4de26a')"
27,"('R0128', '999cdb6d-4a54-4b99-a16c-894f33a954d5')"
28,"('R0129', '9afb9c44-af6c-4a58-941d-60e8ed402f1c')"
29,"('R0130', '68585b82-2e60-4289-a1e9-0b156ef1799a')"
30,"('R0131', 'f7ba3d91-d9a0-47cb-8d95-c5676a4fac97')"
31,"('A0457', '9e67495b-2d0a-4a0a-bb5d-61f293610c9c')"
32,"('A0459', 'ad98cac5-1c38-4435-90e3-ba800773ee62')"
33,"('A0461', '70735147-0d09-4151-b05b-98b4d393bc87')"
34,"('A0462', 'e1861be2-02a6-4997-949a-fbb1658cdb3c')"
35,"('A0463', 'eed1f66f-cb42-4599-a03b-87e235f2c45c')"
36,"('A0464', '5ef2cba8-9447-4eca-b9f7-4ae0576db10d')"
37,"('A0465', '4e6dd1c9-107c-4217-bb13-842e80430811')"
38,"('C3824', '3bd922ec-f3d3-4898-8d5a-47bdbfc72c22')"
39,"('C3825', 'c324b057-342d-48fa-a91c-5b4e34426e61')"
40,"('C3844', 'c6f22f68-bea8-4a9e-a41c-b3f2a505e6bf')"
41,"('C3852', '00a204e4-8b75-4b83-ae51-89a1bafd5314')"
42,"('C3853', '19d006b1-8980-470e-be84-6a6f8c136e2b')"
43,"('C3859', 'e7d22fb0-efa8-439b-93ee-77308c860ada')"
44,"('C3864', '5416e672-54f2-4bd5-9479-a8672be5d21c')"
45,"('C3865', 'fcbeddb0-4115-45fb-8d67-cf71c331dbeb')"
46,"('C3866', 'c56c38e6-d4c8-4ac3-9380-41d6edd8d2e5')"
47,"('C3867', '51e45467-efac-4cce-9a74-54700348ed72')"
48,"('C3868', '90daf9d7-d874-43fa-ba93-e3c850b4810d')"
49,"('C3869', '0ae94c8e-aecd-479f-9457-738aab4df3f0')"
